Exporter,Importer,Value
Croatia,Bosnia and Herzegovina,33036.04
Bosnia and Herzegovina,Croatia,18706.17
Finland,Bosnia and Herzegovina,0.4
Germany,Bosnia and Herzegovina,18.0
Hungary,Bosnia and Herzegovina,127579.87
Italy,Bosnia and Herzegovina,9.0
Netherlands (Kingdom of the),Bosnia and Herzegovina,0.68
Serbia,Bosnia and Herzegovina,114053.11
Bosnia and Herzegovina,Serbia,128.8
Slovakia,Bosnia and Herzegovina,0.04
Austria,Bulgaria,9443.93
Bulgaria,Austria,0.08
Bulgaria,Belgium,0.08
Canada,Bulgaria,0.01
Bulgaria,Canada,0.3
Bulgaria,Croatia,75.42
Bulgaria,Denmark,0.02
France,Bulgaria,351.0
Bulgaria,France,0.01
Germany,Bulgaria,47.07
Bulgaria,Germany,33003.09
Greece,Bulgaria,259.19
Bulgaria,Greece,421410.22
Hungary,Bulgaria,3337.91
Bulgaria,Hungary,17.0
Bulgaria,Ireland,12000.5
Italy,Bulgaria,38.8
Bulgaria,Italy,97600.23
Bulgaria,Lithuania,0.03
Netherlands (Kingdom of the),Bulgaria,11.0
Bulgaria,Netherlands (Kingdom of the),28500.04
Bulgaria,North Macedonia,75.23
Poland,Bulgaria,23.0
Republic of Moldova,Bulgaria,4339.93
Romania,Bulgaria,82033.28
Bulgaria,Romania,383107.71
Russian Federation,Bulgaria,0.02
Serbia,Bulgaria,0.01
Slovakia,Bulgaria,27.0
Spain,Bulgaria,48.38
Bulgaria,Spain,464518.02
Switzerland,Bulgaria,0.38
Bulgaria,Ukraine,30.0
Bulgaria,United Kingdom of Great Britain and Northern Ireland,29089.28
Austria,Canada,0.31
Belgium,Canada,0.0
Canada,Belgium,61263.0
Czechia,Canada,0.04
Denmark,Canada,0.05
Canada,Denmark,300.0
France,Canada,3.24
Canada,France,374.0
Germany,Canada,281.07
Canada,Germany,236.0
Greece,Canada,13.0
Canada,Greece,16501.0
Canada,Italy,1412611.0
Netherlands (Kingdom of the),Canada,0.34
Canada,Netherlands (Kingdom of the),197.0
Canada,Portugal,55223.0
Romania,Canada,37.0
Canada,Spain,515723.0
Switzerland,Canada,0.12
United Kingdom of Great Britain and Northern Ireland,Canada,8.17
Canada,United Kingdom of Great Britain and Northern Ireland,566241.16
United States of America,Canada,88587.98
Canada,United States of America,2179957.0
Croatia,Albania,513.16
Austria,Croatia,9067.81
Croatia,Austria,15270.89
Bosnia and Herzegovina,Croatia,15311.64
Croatia,Bosnia and Herzegovina,32475.63
Croatia,Bulgaria,20.56
Czechia,Croatia,3.99
France,Croatia,77.51
Germany,Croatia,2.51
Croatia,Germany,3079.48
Croatia,Greece,5.0
Hungary,Croatia,84565.74
Croatia,Hungary,4612.77
Italy,Croatia,2394.11
Croatia,Italy,388794.63
Croatia,Montenegro,0.49
Croatia,Netherlands (Kingdom of the),0.0
Croatia,North Macedonia,105.0
Poland,Croatia,0.21
Croatia,Poland,269.9
Croatia,Portugal,0.4
Romania,Croatia,2176.66
Croatia,Romania,105.96
Serbia,Croatia,12212.39
Croatia,Serbia,6331.13
Slovakia,Croatia,46.72
Croatia,Slovakia,19.0
Slovenia,Croatia,2078.32
Croatia,Slovenia,27686.76
Spain,Croatia,0.0
Croatia,Spain,20450.0
Croatia,Switzerland,0.0
Ukraine,Croatia,1614.18
Austria,Czechia,3025.41
Czechia,Austria,284458.02
Czechia,Belarus,310.0
Belgium,Czechia,1320.38
Czechia,Belgium,190.46
Croatia,Czechia,0.4
Czechia,Croatia,4.02
Czechia,Denmark,152.11
Czechia,Estonia,27.8
France,Czechia,337.35
Czechia,France,433.65
Germany,Czechia,2170.26
Czechia,Germany,2552582.99
Czechia,Greece,6.0
Hungary,Czechia,23734.4
Czechia,Hungary,2784.7
Italy,Czechia,49.24
Czechia,Italy,22115.24
Czechia,Lithuania,209.6
Czechia,Luxembourg,600.22
Netherlands (Kingdom of the),Czechia,7.5
Czechia,Netherlands (Kingdom of the),43191.16
Norway,Czechia,0.0
Poland,Czechia,6103.78
Czechia,Poland,219381.14
Czechia,Portugal,169.32
Czechia,Republic of Moldova,16.5
Romania,Czechia,2442.32
Czechia,Romania,1827.97
Czechia,Russian Federation,163.0
Czechia,Serbia,8.7
Slovakia,Czechia,72797.3
Czechia,Slovakia,22161.17
Czechia,Slovenia,456.56
Czechia,Spain,0.08
Switzerland,Czechia,0.13
Czechia,Switzerland,12257.39
Ukraine,Czechia,11042.26
Czechia,Ukraine,79.45
Czechia,United Kingdom of Great Britain and Northern Ireland,48.0
United States of America,Czechia,0.53
Austria,Denmark,35.89
Denmark,Austria,1.16
Belgium,Denmark,0.09
Denmark,Belgium,7781.4
Bulgaria,Denmark,0.07
Denmark,Bulgaria,0.25
Canada,Denmark,134.0
Denmark,Croatia,1.7
Denmark,Czechia,0.42
Estonia,Denmark,24823.84
Denmark,Estonia,0.83
Denmark,Faroe Islands,0.56
Denmark,Finland,7.0
France,Denmark,1705.1
Denmark,France,1.1
Germany,Denmark,119036.07
Denmark,Germany,13222.06
Denmark,Greece,1.73
Denmark,Hungary,7.57
Iceland,Denmark,0.0
Denmark,Iceland,9933.09
Denmark,Ireland,83721.86
Italy,Denmark,0.03
Denmark,Italy,5499.67
Latvia,Denmark,3452.82
Denmark,Latvia,605.42
Lithuania,Denmark,19137.44
Denmark,Lithuania,2.89
Denmark,Luxembourg,0.03
Netherlands (Kingdom of the),Denmark,207.34
Denmark,Netherlands (Kingdom of the),3746.55
Norway,Denmark,0.0
Denmark,Norway,527.06
Poland,Denmark,22983.27
Denmark,Poland,3845.15
Denmark,Portugal,0.44
Romania,Denmark,4157.54
Denmark,Romania,7.37
Denmark,Slovakia,0.4
Denmark,Slovenia,0.93
Spain,Denmark,42.43
Denmark,Spain,83254.95
Sweden,Denmark,77891.34
Denmark,Sweden,8683.27
Switzerland,Denmark,0.0
United Kingdom of Great Britain and Northern Ireland,Denmark,67.56
Denmark,United Kingdom of Great Britain and Northern Ireland,206527.83
United States of America,Denmark,0.0
Denmark,United States of America,0.0
Estonia,Belgium,7699.88
Czechia,Estonia,12.9
Denmark,Estonia,51.0
Estonia,Denmark,21736.68
Finland,Estonia,2.0
Estonia,Finland,11118.57
France,Estonia,4.57
Germany,Estonia,33.98
Estonia,Germany,5692.96
Italy,Estonia,0.05
Latvia,Estonia,14041.01
Estonia,Latvia,8872.73
Lithuania,Estonia,5126.93
Estonia,Lithuania,2494.42
Netherlands (Kingdom of the),Estonia,1.09
Estonia,Netherlands (Kingdom of the),21490.9
Estonia,Norway,17878.69
Poland,Estonia,8.03
Estonia,Poland,50.56
Estonia,Portugal,1078.0
Estonia,Spain,105945.48
Sweden,Estonia,24.3
Estonia,Sweden,3844.3
United Kingdom of Great Britain and Northern Ireland,Estonia,0.27
Estonia,United Kingdom of Great Britain and Northern Ireland,14242.19
Belgium,Finland,0.1
Denmark,Finland,40.21
Finland,Denmark,3500.0
Estonia,Finland,176.6
France,Finland,4399.79
Finland,France,5380.01
Germany,Finland,5.49
Finland,Germany,15078.84
Finland,Iceland,25.34
Italy,Finland,134.68
Lithuania,Finland,5.0
Netherlands (Kingdom of the),Finland,8.01
Norway,Finland,0.03
Finland,Norway,13392.55
Finland,Spain,18732.92
Sweden,Finland,167.33
Finland,Sweden,273.0
Switzerland,Finland,0.65
United Kingdom of Great Britain and Northern Ireland,Finland,0.03
Finland,United Kingdom of Great Britain and Northern Ireland,0.06
United States of America,Finland,0.0
Austria,France,1584.79
France,Austria,124.21
France,Belarus,78.64
Belgium,France,22805.5
France,Belgium,2544408.95
France,Bosnia and Herzegovina,1.2
France,Bulgaria,432.45
Canada,France,86.93
Croatia,France,50.54
France,Croatia,42.0
Czechia,France,139.0
France,Czechia,363.44
Denmark,France,56.08
France,Denmark,3232.25
France,Estonia,265.79
Finland,France,3935.67
France,Finland,4403.53
Germany,France,77702.61
France,Germany,521245.08
Greece,France,4.67
France,Greece,24678.0
Hungary,France,568.53
France,Hungary,397.13
Ireland,France,0.79
France,Ireland,143169.3
Italy,France,9505.84
France,Italy,698455.01
France,Latvia,41.6
Lithuania,France,4502.96
France,Lithuania,29.41
Luxembourg,France,1128.01
France,Luxembourg,72422.8
France,Malta,1865.09
Netherlands (Kingdom of the),France,6024.05
France,Netherlands (Kingdom of the),1438832.2
France,Norway,5.42
Poland,France,1329.38
France,Poland,21262.29
Portugal,France,140.11
France,Portugal,571689.92
France,Republic of Moldova,8.72
Romania,France,39457.58
France,Romania,4878.08
Serbia,France,96.0
France,Serbia,182.8
France,Slovakia,147.66
France,Slovenia,2.29
Spain,France,12037.32
France,Spain,1007904.92
Sweden,France,4301.0
France,Sweden,15120.34
Switzerland,France,116.28
France,Switzerland,155289.07
Ukraine,France,0.01
France,Ukraine,86.55
United Kingdom of Great Britain and Northern Ireland,France,8.45
France,United Kingdom of Great Britain and Northern Ireland,158437.56
United States of America,France,3364.33
France,United States of America,62325.51
Austria,Germany,126046.16
Germany,Austria,13958.0
Germany,Belarus,581.37
Belgium,Germany,15352.19
Germany,Belgium,635055.07
Germany,Bosnia and Herzegovina,11.0
Bulgaria,Germany,1499.65
Germany,Bulgaria,44.3
Canada,Germany,7.04
Croatia,Germany,2485.94
Germany,Croatia,7.91
Czechia,Germany,2585771.55
Germany,Czechia,1078.08
Denmark,Germany,11864.44
Germany,Denmark,137743.76
Estonia,Germany,5445.27
Germany,Estonia,70.27
Germany,Faroe Islands,11860.0
Finland,Germany,10253.88
Germany,Finland,124.69
France,Germany,474008.17
Germany,France,137539.78
Greece,Germany,71.46
Germany,Greece,6055.89
Hungary,Germany,604986.86
Germany,Hungary,1051.29
Germany,Iceland,17880.1
Germany,Ireland,61882.32
Italy,Germany,4608.94
Germany,Italy,129961.82
Latvia,Germany,67695.75
Germany,Latvia,576.93
Lithuania,Germany,109898.74
Germany,Lithuania,3647.42
Luxembourg,Germany,9267.07
Germany,Luxembourg,20618.76
Netherlands (Kingdom of the),Germany,79028.41
Germany,Netherlands (Kingdom of the),1741075.43
Germany,Norway,199828.61
Poland,Germany,1460019.11
Germany,Poland,15460.87
Germany,Portugal,68920.66
Republic of Moldova,Germany,222.76
Germany,Republic of Moldova,0.3
Romania,Germany,78605.53
Germany,Romania,240.77
Germany,Russian Federation,22.19
Serbia,Germany,1238.87
Slovakia,Germany,317919.58
Germany,Slovakia,476.11
Slovenia,Germany,23.76
Germany,Slovenia,8.6
Spain,Germany,318.76
Germany,Spain,212788.7
Sweden,Germany,18930.76
Germany,Sweden,67524.72
Switzerland,Germany,4558.75
Germany,Switzerland,223114.27
Ukraine,Germany,105733.0
Germany,Ukraine,321.86
United Kingdom of Great Britain and Northern Ireland,Germany,15.91
Germany,United Kingdom of Great Britain and Northern Ireland,1075414.49
United States of America,Germany,6.67
Germany,United States of America,33000.0
Greece,Albania,775.89
Austria,Greece,799.5
Greece,Belgium,4297.95
Bulgaria,Greece,476856.88
Greece,Bulgaria,173.86
Canada,Greece,28354.28
Croatia,Greece,1.75
Czechia,Greece,27.0
Greece,Czechia,32.0
France,Greece,24864.05
Germany,Greece,6176.32
Greece,Germany,2.03
Hungary,Greece,3884.24
Italy,Greece,13994.24
Greece,Italy,633253.32
Latvia,Greece,0.72
Lithuania,Greece,2.52
Netherlands (Kingdom of the),Greece,0.0
Greece,Netherlands (Kingdom of the),0.03
North Macedonia,Greece,27040.13
Greece,Poland,0.0
Republic of Moldova,Greece,129576.81
Romania,Greece,132689.07
Greece,Romania,270.0
Russian Federation,Greece,66672.09
Serbia,Greece,54.0
Greece,Serbia,96.19
Spain,Greece,17.94
Greece,Spain,11188.68
Sweden,Greece,0.01
Ukraine,Greece,210331.42
United Kingdom of Great Britain and Northern Ireland,Greece,50.58
Greece,United Kingdom of Great Britain and Northern Ireland,0.05
United States of America,Greece,57.45
Hungary,Albania,399.34
Austria,Hungary,29183.56
Hungary,Austria,605935.9
Belgium,Hungary,0.05
Hungary,Belgium,3727.45
Hungary,Bosnia and Herzegovina,127890.21
Bulgaria,Hungary,2069.57
Hungary,Bulgaria,72496.27
Canada,Hungary,0.87
Croatia,Hungary,1206.44
Hungary,Croatia,83664.22
Czechia,Hungary,9578.82
Hungary,Czechia,9708.36
France,Hungary,250.09
Hungary,France,3800.19
Germany,Hungary,465.11
Hungary,Germany,775007.61
Hungary,Greece,6799.98
Italy,Hungary,5661.51
Hungary,Italy,1653700.52
Lithuania,Hungary,23.5
Hungary,Malta,12504.12
Netherlands (Kingdom of the),Hungary,0.69
Hungary,Netherlands (Kingdom of the),1662.27
Hungary,North Macedonia,2154.28
Poland,Hungary,23.86
Hungary,Poland,10602.83
Romania,Hungary,3787.93
Hungary,Romania,81169.99
Serbia,Hungary,195.0
Hungary,Serbia,6912.18
Slovakia,Hungary,100693.32
Hungary,Slovakia,19364.54
Slovenia,Hungary,20.06
Hungary,Slovenia,66733.96
Hungary,Spain,28.33
Hungary,Switzerland,11296.67
Hungary,Ukraine,43.55
United Kingdom of Great Britain and Northern Ireland,Hungary,0.02
Hungary,United Kingdom of Great Britain and Northern Ireland,0.06
Belgium,Iceland,0.03
Denmark,Iceland,9837.46
Finland,Iceland,16.94
Germany,Iceland,25938.44
Latvia,Iceland,0.23
Lithuania,Iceland,0.2
Netherlands (Kingdom of the),Iceland,149.38
Norway,Iceland,0.0
United Kingdom of Great Britain and Northern Ireland,Iceland,11225.8
United States of America,Iceland,0.0
Austria,Ireland,3.28
Belgium,Ireland,65.7
Ireland,Belgium,41.33
Bulgaria,Ireland,11970.92
Denmark,Ireland,42192.49
Estonia,Ireland,26988.4
Finland,Ireland,9.32
France,Ireland,57702.7
Ireland,France,215.9
Germany,Ireland,67542.7
Italy,Ireland,51.88
Lithuania,Ireland,242.15
Ireland,Luxembourg,0.03
Netherlands (Kingdom of the),Ireland,170.86
Norway,Ireland,0.02
Poland,Ireland,60894.28
Spain,Ireland,0.06
Sweden,Ireland,22676.71
Ukraine,Ireland,84606.1
United Kingdom of Great Britain and Northern Ireland,Ireland,189161.95
Ireland,United Kingdom of Great Britain and Northern Ireland,45342.97
United States of America,Ireland,0.05
Italy,Albania,7096.52
Austria,Italy,793088.44
Italy,Austria,114.09
Belgium,Italy,30005.27
Italy,Belgium,1152.09
Italy,Bosnia and Herzegovina,9.0
Bulgaria,Italy,132123.62
Italy,Bulgaria,87.95
Canada,Italy,1199418.62
Croatia,Italy,357321.9
Italy,Croatia,1304.44
Czechia,Italy,49507.23
Italy,Czechia,39.53
Denmark,Italy,5534.74
Italy,Denmark,0.1
Estonia,Italy,1063.15
Italy,Estonia,0.05
Italy,Finland,0.01
France,Italy,702143.94
Italy,France,4918.84
Germany,Italy,241564.86
Italy,Germany,3699.54
Greece,Italy,644461.64
Italy,Greece,23972.73
Hungary,Italy,2008984.56
Italy,Hungary,280.36
Italy,Ireland,0.02
Latvia,Italy,9030.19
Italy,Latvia,0.26
Lithuania,Italy,9180.01
Italy,Lithuania,2.38
Luxembourg,Italy,4186.24
Italy,Luxembourg,0.04
Italy,Malta,256.11
Netherlands (Kingdom of the),Italy,5639.84
Italy,Netherlands (Kingdom of the),115.08
Poland,Italy,3067.28
Italy,Poland,4.96
Italy,Portugal,5629.36
Republic of Moldova,Italy,36244.59
Italy,Republic of Moldova,12.61
Romania,Italy,538467.59
Italy,Romania,424.63
Russian Federation,Italy,59165.12
Italy,Serbia,976.2
Slovakia,Italy,239280.74
Italy,Slovakia,5.56
Slovenia,Italy,383861.53
Italy,Slovenia,7.41
Spain,Italy,183327.34
Italy,Spain,229.74
Italy,Sweden,0.2
Italy,Switzerland,1538.34
Ukraine,Italy,650339.64
Italy,Ukraine,25.62
United Kingdom of Great Britain and Northern Ireland,Italy,0.36
Italy,United Kingdom of Great Britain and Northern Ireland,60.86
United States of America,Italy,451979.93
Italy,United States of America,314.39
Austria,Latvia,235.23
Belgium,Latvia,43.8
Latvia,Belgium,21180.0
Latvia,Czechia,96.8
Denmark,Latvia,518.58
Latvia,Denmark,3746.89
Estonia,Latvia,25891.21
Latvia,Estonia,13596.87
France,Latvia,49.17
Latvia,France,79095.16
Germany,Latvia,1664.71
Latvia,Germany,94342.41
Latvia,Ireland,5332.5
Italy,Latvia,10320.27
Latvia,Italy,8744.3
Lithuania,Latvia,522471.65
Latvia,Lithuania,78332.23
Latvia,Netherlands (Kingdom of the),44053.29
Latvia,Norway,30138.96
Poland,Latvia,267.62
Russian Federation,Latvia,8744.3
Slovakia,Latvia,501.8
Latvia,Slovakia,5.9
Spain,Latvia,29.39
Latvia,Spain,0.05
Sweden,Latvia,50.3
Latvia,Sweden,447.0
Ukraine,Latvia,9142.23
United Kingdom of Great Britain and Northern Ireland,Latvia,0.0
Latvia,United Kingdom of Great Britain and Northern Ireland,58280.19
Austria,Lithuania,83.03
Lithuania,Austria,100.58
Lithuania,Belgium,59946.93
Lithuania,Croatia,3.5
Czechia,Lithuania,89.8
Lithuania,Czechia,6.0
Denmark,Lithuania,30.6
Lithuania,Denmark,19273.35
Estonia,Lithuania,512.52
Lithuania,Estonia,2438.95
Finland,Lithuania,10.8
Lithuania,Finland,5.0
France,Lithuania,61.7
Lithuania,France,1956.89
Germany,Lithuania,145.4
Lithuania,Germany,110701.44
Lithuania,Ireland,14.0
Italy,Lithuania,10.35
Lithuania,Italy,9205.0
Latvia,Lithuania,29422.6
Lithuania,Latvia,446147.01
Lithuania,Luxembourg,72.0
Netherlands (Kingdom of the),Lithuania,959.4
Lithuania,Netherlands (Kingdom of the),39131.99
Lithuania,Norway,22142.28
Poland,Lithuania,13244.18
Lithuania,Poland,1233.43
Lithuania,Portugal,6143.5
Lithuania,Russian Federation,1.4
Slovakia,Lithuania,178.4
Lithuania,Spain,224337.19
Sweden,Lithuania,10.0
Lithuania,Sweden,5444.76
Switzerland,Lithuania,0.19
Lithuania,Switzerland,175.38
Ukraine,Lithuania,2299.8
United Kingdom of Great Britain and Northern Ireland,Lithuania,0.0
Lithuania,United Kingdom of Great Britain and Northern Ireland,44596.42
Austria,Luxembourg,55.85
Belgium,Luxembourg,14777.44
Luxembourg,Belgium,5511.12
Denmark,Luxembourg,51.76
Estonia,Luxembourg,18.9
France,Luxembourg,72886.18
Luxembourg,France,1052.87
Germany,Luxembourg,26385.1
Luxembourg,Germany,10197.73
Italy,Luxembourg,17.74
Lithuania,Luxembourg,24.0
Netherlands (Kingdom of the),Luxembourg,31177.15
Luxembourg,Netherlands (Kingdom of the),5592.78
Poland,Luxembourg,24.0
Portugal,Luxembourg,0.06
Slovakia,Luxembourg,6644.86
Spain,Luxembourg,208.25
France,Malta,2170.0
Italy,Malta,96.77
Netherlands (Kingdom of the),Malta,0.05
Romania,Malta,3.3
Slovakia,Malta,0.05
Slovenia,Malta,12503.96
United Kingdom of Great Britain and Northern Ireland,Malta,0.05
United States of America,Malta,0.0
Montenegro,Albania,77.05
Austria,Montenegro,1.1
Croatia,Montenegro,0.05
Czechia,Montenegro,0.33
Germany,Montenegro,0.03
Greece,Montenegro,0.4
Italy,Montenegro,0.02
Serbia,Montenegro,12546.89
Slovakia,Montenegro,0.22
Slovenia,Montenegro,0.01
Austria,Netherlands (Kingdom of the),3912.68
Netherlands (Kingdom of the),Austria,71.29
Belgium,Netherlands (Kingdom of the),229338.98
Netherlands (Kingdom of the),Belgium,124156.5
Bosnia and Herzegovina,Netherlands (Kingdom of the),0.01
Bulgaria,Netherlands (Kingdom of the),30340.11
Netherlands (Kingdom of the),Bulgaria,25.63
Canada,Netherlands (Kingdom of the),0.39
Croatia,Netherlands (Kingdom of the),297.58
Netherlands (Kingdom of the),Croatia,23.21
Czechia,Netherlands (Kingdom of the),48707.11
Netherlands (Kingdom of the),Czechia,135.43
Denmark,Netherlands (Kingdom of the),17494.92
Netherlands (Kingdom of the),Denmark,182.33
Estonia,Netherlands (Kingdom of the),22032.36
Netherlands (Kingdom of the),Estonia,9.74
Finland,Netherlands (Kingdom of the),912.73
Netherlands (Kingdom of the),Finland,63.0
France,Netherlands (Kingdom of the),1772736.27
Netherlands (Kingdom of the),France,4942.83
Germany,Netherlands (Kingdom of the),1979048.24
Netherlands (Kingdom of the),Germany,46558.75
Greece,Netherlands (Kingdom of the),434.36
Netherlands (Kingdom of the),Greece,84.7
Hungary,Netherlands (Kingdom of the),6565.92
Netherlands (Kingdom of the),Hungary,44.38
Netherlands (Kingdom of the),Iceland,0.01
Ireland,Netherlands (Kingdom of the),1650.2
Netherlands (Kingdom of the),Ireland,131.36
Italy,Netherlands (Kingdom of the),9819.37
Netherlands (Kingdom of the),Italy,178.79
Latvia,Netherlands (Kingdom of the),11741.55
Netherlands (Kingdom of the),Latvia,9.96
Lithuania,Netherlands (Kingdom of the),51953.31
Netherlands (Kingdom of the),Lithuania,804.06
Luxembourg,Netherlands (Kingdom of the),8348.54
Netherlands (Kingdom of the),Luxembourg,1452.15
Malta,Netherlands (Kingdom of the),33.07
Netherlands (Kingdom of the),Malta,36.69
Norway,Netherlands (Kingdom of the),0.09
Netherlands (Kingdom of the),Norway,2291.11
Poland,Netherlands (Kingdom of the),118703.16
Netherlands (Kingdom of the),Poland,236.03
Portugal,Netherlands (Kingdom of the),1543.3
Netherlands (Kingdom of the),Portugal,21.39
Romania,Netherlands (Kingdom of the),18855.17
Netherlands (Kingdom of the),Romania,117.84
Russian Federation,Netherlands (Kingdom of the),0.54
Serbia,Netherlands (Kingdom of the),0.04
Slovakia,Netherlands (Kingdom of the),2287.53
Netherlands (Kingdom of the),Slovakia,42.02
Slovenia,Netherlands (Kingdom of the),529.39
Netherlands (Kingdom of the),Slovenia,12.12
Spain,Netherlands (Kingdom of the),7848.9
Netherlands (Kingdom of the),Spain,193.13
Sweden,Netherlands (Kingdom of the),35369.32
Netherlands (Kingdom of the),Sweden,162.13
Ukraine,Netherlands (Kingdom of the),170494.43
Netherlands (Kingdom of the),Ukraine,0.84
United Kingdom of Great Britain and Northern Ireland,Netherlands (Kingdom of the),7955.4
Netherlands (Kingdom of the),United Kingdom of Great Britain and Northern Ireland,4513.9
United States of America,Netherlands (Kingdom of the),18.77
Netherlands (Kingdom of the),United States of America,1.48
North Macedonia,Albania,981.66
Austria,North Macedonia,0.14
Bulgaria,North Macedonia,26.1
North Macedonia,Canada,1.16
Croatia,North Macedonia,130.0
France,North Macedonia,7.1
Germany,North Macedonia,0.01
North Macedonia,Greece,27080.5
Hungary,North Macedonia,2186.61
Romania,North Macedonia,3.0
Serbia,North Macedonia,61486.05
North Macedonia,Serbia,40.0
Belgium,Norway,205.86
Denmark,Norway,4494.37
Norway,Denmark,0.39
Estonia,Norway,21916.1
Finland,Norway,9845.32
France,Norway,3008.03
Germany,Norway,178349.58
Italy,Norway,5.14
Latvia,Norway,25008.3
Lithuania,Norway,27974.77
Netherlands (Kingdom of the),Norway,76.42
Poland,Norway,87987.74
Republic of Moldova,Norway,22.0
Romania,Norway,414.92
Norway,Romania,22.38
Sweden,Norway,73458.55
Norway,Sweden,40.8
Ukraine,Norway,9729.96
Austria,Poland,4542.06
Poland,Austria,544.69
Poland,Belarus,237.29
Belgium,Poland,4352.54
Poland,Belgium,104291.47
Poland,Bulgaria,5677.2
Czechia,Poland,215256.0
Poland,Czechia,5636.69
Denmark,Poland,4143.37
Poland,Denmark,15337.32
Poland,Estonia,108.91
Poland,Finland,2.04
France,Poland,11124.4
Poland,France,595.18
Germany,Poland,18971.74
Poland,Germany,1425172.94
Greece,Poland,317.2
Poland,Greece,0.5
Hungary,Poland,13311.23
Poland,Iceland,9906.46
Poland,Ireland,51968.75
Italy,Poland,150.49
Poland,Italy,939.0
Poland,Latvia,1060.7
Lithuania,Poland,416.46
Poland,Lithuania,11678.56
Netherlands (Kingdom of the),Poland,2.0
Poland,Netherlands (Kingdom of the),74653.89
Poland,Norway,82857.04
Poland,Portugal,34863.89
Republic of Moldova,Poland,22.05
Romania,Poland,1537.35
Poland,Romania,2068.32
Poland,Russian Federation,0.01
Serbia,Poland,23.5
Slovakia,Poland,295424.29
Poland,Slovakia,64.81
Poland,Spain,35342.15
Poland,Sweden,6607.94
Switzerland,Poland,0.0
Poland,Switzerland,0.07
Ukraine,Poland,1008.1
Poland,Ukraine,3.0
United Kingdom of Great Britain and Northern Ireland,Poland,4.3
Poland,United Kingdom of Great Britain and Northern Ireland,233802.06
United States of America,Poland,0.0
Poland,United States of America,115771.98
Belgium,Portugal,12.21
Canada,Portugal,75587.16
Denmark,Portugal,7288.04
Estonia,Portugal,30582.4
France,Portugal,453690.92
Portugal,France,0.04
Germany,Portugal,247330.74
Greece,Portugal,4824.14
Italy,Portugal,5440.62
Latvia,Portugal,4105.06
Netherlands (Kingdom of the),Portugal,12.21
Poland,Portugal,46032.2
Romania,Portugal,27491.36
